PLAYER,POSITION,TEAM,SALARY
Tony Snell,SF,Chicago Bulls,1.53588
Lamar Patterson,SG,Atlanta Hawks,0.525093
J.J. Barea,PG,Dallas Mavericks,4.29
Kenneth Faried,PF,Denver Nuggets,11.235955
Lou Amundson,PF,New York Knicks,1.635476
C.J. Miles,SF,Indiana Pacers,4.394225
Alan Anderson,SG,Washington Wizards,4
Danny Granger,SF,Detroit Pistons,2.170465
Robert Covington,SF,Philadelphia 76ers,1
Jarrid Famous,PF,Memphis Grizzlies,0.525093
Marc Gasol,C,Memphis Grizzlies,19.688
Raymond Felton,PG,Dallas Mavericks,3.950313
Alec Burks,SG,Utah Jazz,9.463484
Pat Connaughton,SG,Portland Trail Blazers,0.625093
Jeremy Lamb,SG,Charlotte Hornets,3.034356
Tristan Thompson,C,Cleveland Cavaliers,14.26087
Archie Goodwin,SG,Phoenix Suns,1.16016
Andre Drummond,C,Detroit Pistons,3.272091
Dante Exum,PG,Utah Jazz,3.77772
Furkan Aldemir,PF,Philadelphia 76ers,2.836768
Adreian Payne,PF,Minnesota Timberwolves,1.93884
Maurice Harkless,SF,Portland Trail Blazers,2.894059
Timofey Mozgov,C,Cleveland Cavaliers,4.95
Eric Gordon,SG,New Orleans Pelicans,15.514031
Josh Richardson,SG,Miami Heat,0.525093
K.J. McDaniels,SG,Houston Rockets,3.189794
Tobias Harris,SF,Orlando Magic,16
Kris Humphries,PF,Washington Wizards,4.44
Trevor Booker,PF,Utah Jazz,4.775
Danilo Gallinari,SF,Denver Nuggets,14
Jrue Holiday,PG,New Orleans Pelicans,10.595507
Dwight Howard,C,Houston Rockets,22.359364
Allen Crabbe,SG,Portland Trail Blazers,0.947276
Zach Randolph,PF,Memphis Grizzlies,9.638555
Channing Frye,PF,Orlando Magic,8.193029
Harrison Barnes,SF,Golden State Warriors,3.873398
Tony Wroten,SG,Philadelphia 76ers,2.179353
Greg Whittington,SF,Miami Heat,0.525093
Kyle Anderson,SF,San Antonio Spurs,1.14288
Earl Clark,SF,Brooklyn Nets,1.185784
Chris McCullough,PF,Brooklyn Nets,1.14024
Nerlens Noel,PF,Philadelphia 76ers,3.4578
Cody Zeller,C,Charlotte Hornets,4.2042
Ersan Ilyasova,PF,Orlando Magic,7.9
Mike Dunleavy,SG,Chicago Bulls,4.5
Al Jefferson,C,Charlotte Hornets,13.5
Cole Aldrich,C,Los Angeles Clippers,1.100602
Orlando Johnson,SG,Phoenix Suns,0.055722
Jusuf Nurkic,C,Denver Nuggets,1.842
Rondae Hollis-Jefferson,SG,Brooklyn Nets,1.33548
Jeff Ayres,PF,Los Angeles Clippers,0.111444
Chris Paul,PG,Los Angeles Clippers,21.468695
Terry Rozier,PG,Boston Celtics,1.82436
Brandon Bass,PF,Los Angeles Lakers,3
Jarell Eddie,SG,Washington Wizards,0.561716
Joakim Noah,C,Chicago Bulls,13.4
Norris Cole,PG,New Orleans Pelicans,3.036927
Russ Smith,PG,Memphis Grizzlies,0.845059
Jamal Crawford,SG,Los Angeles Clippers,5.675
Jeff Green,SF,Memphis Grizzlies,9.45
D.J. Augustin,PG,Oklahoma City Thunder,3
Festus Ezeli,C,Golden State Warriors,2.008748
Monta Ellis,SG,Indiana Pacers,10.3
Pablo Prigioni,PG,Los Angeles Clippers,0.947726
Caron Butler,SF,Sacramento Kings,1.449187
Jae Crowder,SF,Boston Celtics,6.796117
Trey Lyles,PF,Utah Jazz,2.2398
David West,PF,San Antonio Spurs,1.499187
Chris Copeland,SF,Milwaukee Bucks,1.15
DeJuan Blair,C,Washington Wizards,2
Devin Booker,SG,Phoenix Suns,2.12784
Austin Rivers,PG,Los Angeles Clippers,3.110796
Jason Richardson,SG,Atlanta Hawks,0.947276
Zach LaVine,PG,Minnesota Timberwolves,2.14836
Udonis Haslem,PF,Miami Heat,2.85494
Rakeem Christmas,PF,Indiana Pacers,1.007026
Trevor Ariza,SF,Houston Rockets,8.19303
Chris Kaman,C,Portland Trail Blazers,5.016
Carmelo Anthony,SF,New York Knicks,22.875
Gary Harris,SG,Denver Nuggets,1.58448
Markieff Morris,PF,Washington Wizards,8
Kostas Papanikolaou,SF,Denver Nuggets,0.800321
Phil Pressey,PG,Phoenix Suns,0.055722
Langston Galloway,SG,New York Knicks,0.845059
Elfrid Payton,PG,Orlando Magic,2.50572
Nikola Jokic,C,Denver Nuggets,1.3
Rashad Vaughn,SG,Milwaukee Bucks,1.73304
Kemba Walker,PG,Charlotte Hornets,12
LaMarcus Aldridge,PF,San Antonio Spurs,19.689
Ed Davis,C,Portland Trail Blazers,6.980802
Alonzo Gee,SF,New Orleans Pelicans,1.32
Khris Middleton,SG,Milwaukee Bucks,14.7
Goran Dragic,PG,Miami Heat,14.783
Mo Williams,PG,Cleveland Cavaliers,2.1
Chase Budinger,SF,Indiana Pacers,5
Toney Douglas,PG,New Orleans Pelicans,1.164858
Tyler Johnson,SG,Miami Heat,0.845059
Ryan Anderson,PF,New Orleans Pelicans,8.5
Brandon Rush,SF,Golden State Warriors,1.270964
Tim Hardaway Jr.,SG,Atlanta Hawks,1.30452
Luis Montero,SG,Portland Trail Blazers,0.525093
Gorgui Dieng,C,Minnesota Timberwolves,1.47444
Jerel McNeal,SG,Phoenix Suns,0.981348
Garrett Temple,SG,Washington Wizards,1.100602
Steven Adams,C,Oklahoma City Thunder,2.27904
Quincy Pondexter,SF,New Orleans Pelicans,3.382023
Joe Ingles,SF,Utah Jazz,2.05
Treveon Graham,SG,Utah Jazz,0.525093
DeMarcus Cousins,C,Sacramento Kings,15.85195
Brendan Haywood,C,Cleveland Cavaliers,10.5225
Kyrie Irving,PG,Cleveland Cavaliers,16.407501
Matt Barnes,SF,Memphis Grizzlies,3.5425
Anthony Davis,PF,New Orleans Pelicans,7.07073
Dion Waiters,SG,Oklahoma City Thunder,5.13843
Anthony Brown,SF,Los Angeles Lakers,0.7
Jordan McRae,SG,Phoenix Suns,0.049709
Derrick Rose,PG,Chicago Bulls,20.093064
Kevin Martin,SG,Minnesota Timberwolves,7.085
Chris Bosh,PF,Miami Heat,22.19273
Nicolas Batum,SG,Charlotte Hornets,13.125306
Thomas Robinson,PF,Brooklyn Nets,0.981348
Darrun Hilliard,SF,Detroit Pistons,0.6
Clint Capela,PF,Houston Rockets,1.24272
Klay Thompson,SG,Golden State Warriors,15.501
Trey Burke,PG,Utah Jazz,2.65824
Kristaps Porzingis,PF,New York Knicks,4.13172
J.J. Redick,SG,Los Angeles Clippers,7.085
Julius Randle,PF,Los Angeles Lakers,3.13224
Sam Dekker,SF,Houston Rockets,1.6464
Perry Jones,SF,Boston Celtics,2.038206
Bradley Beal,SG,Washington Wizards,5.694674
Jason Thompson,PF,Golden State Warriors,7.008475
Patty Mills,PG,San Antonio Spurs,3.578947
D'Angelo Russell,PG,Los Angeles Lakers,5.10312
Kyle O'Quinn,PF,New York Knicks,3.75
Boris Diaw,C,San Antonio Spurs,7.5
Kyle Korver,SG,Atlanta Hawks,5.746479
Drew Gooden,PF,Washington Wizards,3.3
Rodney Hood,SG,Utah Jazz,1.34844
Ricky Rubio,PG,Minnesota Timberwolves,12.7
Kyle Singler,SF,Oklahoma City Thunder,4.5
Tyler Zeller,C,Boston Celtics,2.616975
Terran Petteway,SG,Atlanta Hawks,0.525093
Jorge Gutierrez,PG,Charlotte Hornets,0.947276
Joe Johnson,SF,Brooklyn Nets,24.894863
Rajon Rondo,PG,Sacramento Kings,9.5
Marvin Williams,PF,Charlotte Hornets,7
Kevin Garnett,PF,Minnesota Timberwolves,8.5
Justin Anderson,SG,Dallas Mavericks,1.449
Carl Landry,PF,Philadelphia 76ers,6.5
Lance Thomas,SF,New York Knicks,1.636842
Jeff Withey,C,Utah Jazz,0.947276
JaVale McGee,C,Dallas Mavericks,1.270964
Tony Allen,SG,Memphis Grizzlies,5.158539
Nikola Mirotic,PF,Chicago Bulls,5.543725
Tyreke Evans,SG,New Orleans Pelicans,10.734586
Damien Inglis,SF,Milwaukee Bucks,0.855
Evan Turner,SG,Boston Celtics,3.42551
Nick Young,SF,Los Angeles Lakers,5.219169
Cory Jefferson,PF,Phoenix Suns,0.049709
Tiago Splitter,C,Atlanta Hawks,9.75625
Ramon Sessions,PG,Washington Wizards,2.170465
Jimmy Butler,SG,Chicago Bulls,16.4075
Spencer Hawes,PF,Charlotte Hornets,6.110034
Miles Plumlee,C,Milwaukee Bucks,2.109294
Enes Kanter,C,Oklahoma City Thunder,16.4075
T.J. Warren,SF,Phoenix Suns,2.04108
Gary Neal,PG,Washington Wizards,2.139
Norman Powell,SG,Toronto Raptors,0.65
Jordan Hamilton,SG,Los Angeles Clippers,1.015421
Delon Wright,PG,Toronto Raptors,1.50936
Meyers Leonard,PF,Portland Trail Blazers,3.07588
Thabo Sefolosha,SF,Atlanta Hawks,4
Larry Nance Jr.,PF,Los Angeles Lakers,1.1556
Reggie Bullock,SF,Detroit Pistons,1.25244
LeBron James,SF,Cleveland Cavaliers,22.9705
Paul Millsap,PF,Atlanta Hawks,18.671659
Joffrey Lauvergne,C,Denver Nuggets,1.709719
JJ Hickson,C,Denver Nuggets,5.6135
Tibor Pleiss,C,Utah Jazz,2.9
Dirk Nowitzki,PF,Dallas Mavericks,8.333334
Jodie Meeks,SG,Detroit Pistons,6.27
Luke Babbitt,SF,New Orleans Pelicans,1.100602
Andrea Bargnani,C,Brooklyn Nets,1.362897
Stanley Johnson,SF,Detroit Pistons,2.84196
Rudy Gobert,C,Utah Jazz,1.17588
Avery Bradley,PG,Boston Celtics,7.730337
Jon Leuer,PF,Phoenix Suns,1.035
Marcus Smart,PG,Boston Celtics,3.43104
Sean Kilpatrick,SG,Denver Nuggets,0.099418
Robert Sacre,C,Los Angeles Lakers,0.981348
Chris Andersen,PF,Memphis Grizzlies,5
Tyler Hansbrough,PF,Charlotte Hornets,0.947276
Jahlil Okafor,C,Philadelphia 76ers,4.58268
Aaron Brooks,PG,Chicago Bulls,2.25
James Young,SG,Boston Celtics,1.74984
Luis Scola,PF,Toronto Raptors,2.9
Deron Williams,PG,Dallas Mavericks,5.378974
Willie Cauley-Stein,C,Sacramento Kings,3.39828
Victor Oladipo,SG,Orlando Magic,5.19252
Shelvin Mack,PG,Utah Jazz,2.433333
Cliff Alexander,PF,Portland Trail Blazers,0.525093
Roy Hibbert,C,Los Angeles Lakers,15.592217
Mario Chalmers,PG,Memphis Grizzlies,4.3
Mitch McGary,PF,Oklahoma City Thunder,1.46304
Pau Gasol,C,Chicago Bulls,7.44876
Ray McCallum,PG,San Antonio Spurs,0.947276
Wayne Ellington,SG,Brooklyn Nets,1.5
Lorenzo Brown,PG,Phoenix Suns,0.111444
Ian Mahinmi,C,Indiana Pacers,4
Kevon Looney,SF,Golden State Warriors,1.13196
Dante Cunningham,PF,New Orleans Pelicans,2.85
Jarnell Stokes,PF,Memphis Grizzlies,0.845059
Aaron Gordon,PF,Orlando Magic,4.17168
Jeremy Lin,PG,Charlotte Hornets,2.139
Randy Foye,SG,Oklahoma City Thunder,3.135
Markel Brown,SG,Brooklyn Nets,0.845059
Jerami Grant,SF,Philadelphia 76ers,0.845059